"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation"
"1048","2018-06-10T00:47:47","2018-06-10T00:52:07","58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,2000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire"
"1049","2018-06-10T09:53:46","2018-06-10T09:57:48","41 - Closet (eg. clothes, broom, linen closet, etc.)",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1050","2018-06-10T10:57:22","2018-06-10T11:02:37","24 - Cooking Area or Kitchen",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1051","2018-07-14T18:24:06","2018-07-14T18:28:34","42 - Garage",0,3000,"9 - Confined to roof/exterior structure","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1052","2018-07-15T19:42:27","2018-07-15T19:50:10","24 - Cooking Area or Kitchen",0,50000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1053","2018-06-19T22:01:52","2018-06-19T22:07:50","24 - Cooking Area or Kitchen",0,20,"1 - Confined to object of origin","1 -  Fire alarm system present","13 - Microwave","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1054","2018-06-20T11:17:45","2018-06-20T11:20:29","83 - Electrical Systems",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","26 - Terminations-Copper (incl receptacles, switches, lights)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1055","2018-06-20T18:38:34","2018-06-20T18:43:32","64 - Porch or Balcony",0,100,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1056","2018-06-20T18:52:04","2018-06-20T18:57:24","13 - Stairway, Escalator",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","96 - Chemical Reaction (eg. spontaneous combustion, etc.)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1057","2018-06-21T11:32:09","2018-06-21T11:35:18","78 - Attached Deck",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1058","2018-08-12T08:08:18","2018-08-12T08:11:33","25 - Washroom or Bathroom (toilet,restroom/locker room)",0,100,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1059","2018-08-13T16:58:43","2018-08-13T17:01:42","24 - Cooking Area or Kitchen",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1060","2018-06-22T11:20:05","2018-06-22T11:24:38","60 - Other Building Services/Support Facilities",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","3 - Did not activate: fire too small to trigger system"
"1061","2018-06-22T22:02:37","2018-06-22T22:06:47","47 - Shipping/Receiving/Loading Platform",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","84 - Other Mechanical","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1062","2018-06-23T18:08:39","2018-06-23T18:13:06","49 - Other Storage Area",0,10000,"1 - Confined to object of origin","2 - No Fire alarm system","28 - Cord, Cable for Appliance, Electrical Articles","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1063","2018-06-10T12:45:52","2018-06-10T12:49:40","64 - Porch or Balcony",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1064","2018-06-10T18:43:23","2018-06-10T18:48:41","24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1065","2018-06-11T07:13:58","2018-06-11T07:20:20","24 - Cooking Area or Kitchen",1,500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1066","2018-06-11T10:24:56","2018-06-11T10:28:40","24 - Cooking Area or Kitchen",0,1,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1067","2018-08-29T15:55:30","2018-08-29T16:00:36","24 - Cooking Area or Kitchen",2,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1068","2018-08-29T18:39:05","2018-08-29T18:43:44","21 - Living Area (e.g. living, TV, recreation, etc)",0,3000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1069","2018-06-25T20:38:00","2018-06-25T20:42:19","24 - Cooking Area or Kitchen",0,12000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1070","2018-06-26T14:08:41","2018-06-26T14:12:26","65 - Crawl Space (includes sub-structure)",0,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","24 - Circuit Wiring - Copper","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"1071","2018-06-28T13:15:27","2018-06-28T13:20:59","24 - Cooking Area or Kitchen",1,15000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1072","2018-07-18T19:13:03","2018-07-18T19:18:08","79 - Other Outside Area",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","51 - Incandescent Lamp - Light Bulb, Spotlight","1 - Floor/suite of fire origin: No smoke alarm","3 - Did not activate: fire too small to trigger system"
"1073","2018-07-20T13:49:38","2018-07-20T13:53:23","64 - Porch or Balcony",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1074","2018-07-19T08:27:09","2018-07-19T08:32:12","24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1075","2018-06-02T03:30:23","2018-06-02T03:34:31","13 - Stairway, Escalator",0,300,"1 - Confined to object of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1076","2018-06-02T20:45:18","2018-06-02T20:50:33","24 - Cooking Area or Kitchen",0,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1077","2018-06-03T01:03:53","2018-06-03T01:09:57","24 - Cooking Area or Kitchen",0,2000,"1 - Confined to object of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1078","2018-06-03T10:40:52","2018-06-03T10:44:59","64 - Porch or Balcony",0,2500,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1079","2018-06-04T13:35:40","2018-06-04T13:39:33","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,35000,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","55 - Candle","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1080","2018-07-19T16:34:07","2018-07-19T16:37:43","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","48 - Air Conditioner - Window or Room Unit","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","4 - Other reason for non activation/operation"
"1081","2018-07-19T19:19:27","2018-07-19T19:21:36","27 - Laundry Area",0,60000,"1 - Confined to object of origin","1 -  Fire alarm system present","43 - Clothes Dryer","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1082","2018-06-06T05:17:47","2018-06-06T05:23:05","66 - Concealed Ceiling Area",0,50000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","27 - Terminations-Aluminum (incl receptables, switches, lights)","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1083","2018-06-06T06:33:16","2018-06-06T06:38:30","62 - Roof",0,10000,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","1 - Floor/suite of fire origin: No smoke alarm","4 - Other reason for non activation/operation"
"1084","2018-06-06T11:11:49","2018-06-06T11:16:31","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,2000,"1 - Confined to object of origin","1 -  Fire alarm system present","59 - Other Lighting Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1085","2018-06-06T19:10:49","2018-06-06T19:14:15","64 - Porch or Balcony",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1086","2018-06-07T09:37:37","2018-06-07T09:41:05","21 - Living Area (e.g. living, TV, recreation, etc)",0,15000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1087","2018-08-15T21:09:36","2018-08-15T21:13:26","92 - Residential/Business: Restaurant area",0,3000,"1 - Confined to object of origin","1 -  Fire alarm system present","47 - Refrigerator, Freezer (includes vending machine)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1088","2018-08-16T09:40:56","2018-08-16T09:44:22","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,50000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","51 - Incandescent Lamp - Light Bulb, Spotlight","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1089","2018-08-16T18:32:07","2018-08-16T18:36:35","24 - Cooking Area or Kitchen",0,10000,"1 - Confined to object of origin","1 -  Fire alarm system present","40 - Flue Pipe","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"1090","2018-06-08T18:24:03","2018-06-08T18:27:58","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,400,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1091","2018-06-09T21:31:20","2018-06-09T21:35:55","55 - Mechanical/Electrical Services Room",0,50000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","20 - Service/Utility Lines (includes power/hydro transmission lines)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1092","2018-07-03T13:41:06","2018-07-03T13:48:00","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,60000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","29 - Extension Cord, Temporary Wiring","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1093","2018-07-03T19:54:26","2018-07-03T20:00:34","21 - Living Area (e.g. living, TV, recreation, etc)",0,5000,"1 - Confined to object of origin","2 - No Fire alarm system","24 - Circuit Wiring - Copper","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1094","2018-07-21T05:29:21","2018-07-21T05:36:04","64 - Porch or Balcony",0,9,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system"
"1095","2018-05-07T07:48:07","2018-05-07T07:50:32","24 - Cooking Area or Kitchen",0,10000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1096","2018-06-12T18:23:02","2018-06-12T18:27:37","64 - Porch or Balcony",0,800,"1 - Confined to object of origin","1 -  Fire alarm system present","14 - Open Fired Barbeque - Fixed or Portable","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1097","2018-05-12T19:37:41","2018-05-12T19:41:43","24 - Cooking Area or Kitchen",0,150,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1098","2018-05-13T03:07:35","2018-05-13T03:12:03","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1099","2018-05-13T13:26:27","2018-05-13T13:32:19","24 - Cooking Area or Kitchen",1,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1100","2018-05-15T00:23:24","2018-05-15T00:28:05","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,50,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1101","2018-05-15T23:50:04","2018-05-15T23:54:32","41 - Closet (eg. clothes, broom, linen closet, etc.)",0,400,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","51 - Incandescent Lamp - Light Bulb, Spotlight","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1102","2018-05-16T10:00:25","2018-05-16T10:03:01","66 - Concealed Ceiling Area",0,1000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","83 - Other Electrical","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1103","2018-05-18T04:29:40","2018-05-18T04:33:57","69 - Attic Area",0,250000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","24 - Circuit Wiring - Copper","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1104","2018-05-17T00:55:41","2018-05-17T01:00:32","21 - Living Area (e.g. living, TV, recreation, etc)",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","93 - Hot Ashes, Embers, Spark","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1105","2018-05-17T17:09:29","2018-05-17T17:14:18","24 - Cooking Area or Kitchen",0,3000,"1 - Confined to object of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1106","2018-06-13T15:10:42","2018-06-13T15:14:41","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,30000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","28 - Cord, Cable for Appliance, Electrical Articles","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire"
"1107","2018-05-18T19:00:27","2018-05-18T19:04:42","13 - Stairway, Escalator",0,500,"1 - Confined to object of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1108","2018-05-19T06:20:45","2018-05-19T06:23:57","59 - Utility Shaft (eg. electrical wiring/phone, etc.)",0,5e+05,"3 - Spread to entire room of origin","1 -  Fire alarm system present","24 - Circuit Wiring - Copper","3 - Floor/suite of fire origin: Smoke alarm present did not operate","4 - Other reason for non activation/operation"
"1109","2018-05-19T21:59:53","2018-05-19T22:05:15","21 - Living Area (e.g. living, TV, recreation, etc)",0,10000,"1 - Confined to object of origin","1 -  Fire alarm system present","55 - Candle","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1110","2018-05-20T20:05:55","2018-05-20T20:10:50","64 - Porch or Balcony",0,0,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1111","2018-07-06T15:44:35","2018-07-06T15:51:42","44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,1,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1112","2018-05-21T20:47:50","2018-05-21T20:51:49","62 - Roof",0,30000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1113","2018-05-07T18:55:17","2018-05-07T19:01:51","42 - Garage",0,5000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1114","2018-05-22T05:23:03","2018-05-22T05:28:55","24 - Cooking Area or Kitchen",0,750,"1 - Confined to object of origin","1 -  Fire alarm system present","47 - Refrigerator, Freezer (includes vending machine)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1115","2018-05-22T11:45:05","2018-05-22T11:49:18","24 - Cooking Area or Kitchen",1,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire"
"1116","2018-05-23T18:17:15","2018-05-23T18:23:37","64 - Porch or Balcony",1,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1117","2018-04-25T15:59:25","2018-04-25T16:04:03","24 - Cooking Area or Kitchen",1,30000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","30 - Other Electrical Distribution Item","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1118","2018-04-25T21:21:40","2018-04-25T21:26:47","64 - Porch or Balcony",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1119","2018-04-26T11:34:37","2018-04-26T11:37:35","78 - Attached Deck",3,1e+05,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","14 - Open Fired Barbeque - Fixed or Portable","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1120","2018-04-26T20:03:30","2018-04-26T20:06:30","24 - Cooking Area or Kitchen",0,1500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1121","2018-04-26T20:56:51","2018-04-26T21:01:35","21 - Living Area (e.g. living, TV, recreation, etc)",0,300,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","81 - Vehicle - Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1122","2018-04-26T21:05:44","2018-04-26T21:12:41","24 - Cooking Area or Kitchen",0,300,"1 - Confined to object of origin","1 -  Fire alarm system present","56 - Halogen Lamp or light","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"1123","2018-04-27T07:31:12","2018-04-27T07:34:01","24 - Cooking Area or Kitchen",0,20000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1124","2018-05-10T14:03:20","2018-05-10T14:07:08","64 - Porch or Balcony",0,75000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1125","2018-04-29T17:16:01","2018-04-29T17:19:43","64 - Porch or Balcony",0,70000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1126","2018-04-29T21:29:14","2018-04-29T21:32:48","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1127","2018-04-30T07:13:50","2018-04-30T07:15:59","64 - Porch or Balcony",0,3000,"9 - Confined to roof/exterior structure","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"1128","2018-04-30T20:16:19","2018-04-30T20:20:51","64 - Porch or Balcony",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"1129","2018-04-30T15:38:16","2018-04-30T15:40:27","42 - Garage",0,35000,"8 - Entire Structure","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1130","2018-04-30T16:18:26","2018-04-30T16:21:17","27 - Laundry Area",0,800,"1 - Confined to object of origin","1 -  Fire alarm system present","43 - Clothes Dryer","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1131","2018-05-09T22:53:21","2018-05-09T22:59:15","66 - Concealed Ceiling Area",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1132","2018-05-02T07:04:56","2018-05-02T07:09:01","64 - Porch or Balcony",0,5e+05,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1133","2018-03-27T17:39:40","2018-03-27T17:43:26","21 - Living Area (e.g. living, TV, recreation, etc)",0,25000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","55 - Candle","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1134","2018-03-27T20:34:12","2018-03-27T20:38:19","24 - Cooking Area or Kitchen",0,10,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1135","2018-03-28T08:00:56","2018-03-28T08:02:03","24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","16 - Deep Fat Fryer","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system"
"1136","2018-05-02T15:16:16","2018-05-02T15:21:01","24 - Cooking Area or Kitchen",1,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"1137","2018-05-02T20:02:17","2018-05-02T20:06:13","42 - Garage",0,500,"1 - Confined to object of origin","2 - No Fire alarm system","97 - Rekindle","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"1138","2018-06-15T20:24:18","2018-06-15T20:28:10","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"1139","2018-05-04T18:29:21","2018-05-04T18:31:03","44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1140","2018-05-05T08:08:47","2018-05-05T08:13:12","24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","13 - Microwave","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"1141","2018-03-06T01:17:49","2018-03-06T01:23:01","55 - Mechanical/Electrical Services Room",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","43 - Clothes Dryer","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"1142","2018-03-06T16:22:52","2018-03-06T16:26:56","24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
