"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation","time_diff"
"945",2018-11-13 15:05:21,2018-11-13 15:09:34,"24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",4.21666666666667
"946",2018-10-12 08:04:38,2018-10-12 08:06:31,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",1.88333333333333
"947",2018-10-12 18:28:33,2018-10-12 18:34:58,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,10000,"1 - Confined to object of origin","2 - No Fire alarm system","12 - Oven","1 - Floor/suite of fire origin: No smoke alarm","1 - Sprinkler system activated",6.41666666666667
"948",2018-10-12 21:46:37,2018-10-12 21:50:17,"41 - Closet (eg. clothes, broom, linen closet, etc.)",1,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","59 - Other Lighting Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.66666666666667
"949",2018-10-13 14:39:12,2018-10-13 14:43:33,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.35
"950",2018-10-13 19:39:57,2018-10-13 19:42:44,"24 - Cooking Area or Kitchen",1,2000,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.78333333333333
"951",2018-10-14 09:10:47,2018-10-14 09:15:29,"27 - Laundry Area",0,10000,"1 - Confined to object of origin","2 - No Fire alarm system","43 - Clothes Dryer","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.7
"952",2018-08-20 18:54:15,2018-08-20 18:57:23,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","17 - Wood burning stove","2 - Floor/suite of fire origin: Smoke alarm present and operated","4 - Other reason for non activation/operation",3.13333333333333
"953",2018-08-21 12:51:05,2018-08-21 12:54:08,"83 - Electrical Systems",0,1e+06,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","23 - Distribution Equipment (includes panel boards, fuses, circuit br","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.05
"954",2018-08-24 07:11:01,2018-08-24 07:16:22,"24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.35
"955",2018-11-13 16:02:00,2018-11-13 16:05:25,"24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.41666666666667
"956",2018-11-13 22:02:48,2018-11-13 22:07:35,"30 - Sales, Showroom Area",0,80000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","29 - Extension Cord, Temporary Wiring","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.78333333333333
"957",2018-10-14 22:45:15,2018-10-14 22:47:49,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,40000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","51 - Incandescent Lamp - Light Bulb, Spotlight","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.56666666666667
"958",2018-10-16 11:23:06,2018-10-16 11:26:25,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",3.31666666666667
"959",2018-10-16 15:38:47,2018-10-16 15:44:00,"64 - Porch or Balcony",0,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",5.21666666666667
"960",2018-10-16 16:27:57,2018-10-16 16:31:48,"62 - Roof",0,10000,"1 - Confined to object of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",3.85
"961",2018-10-16 17:32:08,2018-10-16 17:35:25,"24 - Cooking Area or Kitchen",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.28333333333333
"962",2018-10-16 19:31:13,2018-10-16 19:36:05,"24 - Cooking Area or Kitchen",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.86666666666667
"963",2018-10-17 15:28:59,2018-10-17 15:34:41,"24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.7
"964",2018-09-11 11:09:32,2018-09-11 11:14:03,"61 - Exterior Wall",0,2500,"1 - Confined to object of origin","1 -  Fire alarm system present","20 - Service/Utility Lines (includes power/hydro transmission lines)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",4.51666666666667
"965",2018-09-13 17:27:00,2018-09-13 17:32:42,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","3 - Did not activate: fire too small to trigger system",5.7
"966",2018-09-14 21:21:12,2018-09-14 21:24:23,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",3.18333333333333
"967",2018-09-15 05:00:50,2018-09-15 05:06:03,"24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","3 - Did not activate: fire too small to trigger system",5.21666666666667
"968",2018-12-09 21:12:47,2018-12-09 21:17:18,"23 - Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,600,"1 - Confined to object of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.51666666666667
"969",2018-12-10 20:31:00,2018-12-10 20:34:51,"24 - Cooking Area or Kitchen",1,300,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.85
"970",2018-12-11 00:46:57,2018-12-11 00:52:13,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,100,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","34 - Space Heater - Portable","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",5.26666666666667
"971",2018-12-11 14:09:20,2018-12-11 14:13:58,"24 - Cooking Area or Kitchen",0,900,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.63333333333333
"972",2018-09-17 12:49:36,2018-09-17 12:55:31,"24 - Cooking Area or Kitchen",1,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.91666666666667
"973",2018-09-17 13:45:52,2018-09-17 13:48:59,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","31 - Central Heating/Cooling Unit","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system",3.11666666666667
"974",2018-09-17 14:09:13,2018-09-17 14:13:22,"42 - Garage",0,10000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","82 - Vehicle - Mechanical","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.15
"975",2018-09-17 16:05:16,2018-09-17 16:10:12,"24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","14 - Open Fired Barbeque - Fixed or Portable","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",4.93333333333333
"976",2018-09-18 11:50:06,2018-09-18 11:52:03,"81 - Engine Area",0,9999,"1 - Confined to object of origin","1 -  Fire alarm system present","82 - Vehicle - Mechanical","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",1.95
"977",2018-09-18 14:54:41,2018-09-18 14:58:06,"24 - Cooking Area or Kitchen",0,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.41666666666667
"978",2018-10-19 20:38:40,2018-10-19 20:44:15,"70 - Other Structural Area",0,3000,"1 - Confined to object of origin","2 - No Fire alarm system","73 - Blow Torch, Bunsen Burner","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.58333333333333
"979",2018-10-20 13:35:08,2018-10-20 13:39:41,"24 - Cooking Area or Kitchen",0,50,"1 - Confined to object of origin","1 -  Fire alarm system present","54 - Lamp (eg. coal, oil, naphtha, etc.)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.55
"980",2018-10-20 16:43:17,2018-10-20 16:49:03,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,3e+05,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","72 - Cutting/Welding Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",5.76666666666667
"981",2018-09-19 22:31:21,2018-09-19 22:33:01,"68 - Concealed Wall Area",0,20000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","52 - Florescent Lamp (includes ballast)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",1.66666666666667
"982",2018-09-20 20:40:03,2018-09-20 20:44:40,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,5000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","96 - Chemical Reaction (eg. spontaneous combustion, etc.)","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.61666666666667
"983",2018-09-20 21:25:47,2018-09-20 21:29:47,"24 - Cooking Area or Kitchen",0,400,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4
"984",2018-09-21 13:37:26,2018-09-21 13:42:19,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",4.88333333333333
"985",2018-09-21 16:49:04,2018-09-21 16:54:10,"24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",5.1
"986",2018-10-22 14:18:55,2018-10-22 14:24:52,"61 - Exterior Wall",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.95
"987",2018-09-24 22:38:21,2018-09-24 22:43:35,"24 - Cooking Area or Kitchen",0,40000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.23333333333333
"988",2018-09-25 05:24:30,2018-09-25 05:30:48,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.3
"989",2018-08-17 16:39:02,2018-08-17 16:46:49,"62 - Roof",0,4e+05,"9 - Confined to roof/exterior structure","1 -  Fire alarm system present","95 - Lightning","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",7.78333333333333
"990",2018-08-17 17:23:45,2018-08-17 17:28:15,"69 - Attic Area",0,2e+05,"3 - Spread to entire room of origin","2 - No Fire alarm system","95 - Lightning","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",4.5
"991",2018-08-19 00:04:10,2018-08-19 00:11:03,"21 - Living Area (e.g. living, TV, recreation, etc)",0,350000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.88333333333333
"992",2018-08-23 20:52:41,2018-08-23 20:57:56,"55 - Mechanical/Electrical Services Room",0,0,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","23 - Distribution Equipment (includes panel boards, fuses, circuit br","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",5.25
"993",2018-08-24 09:49:44,2018-08-24 09:55:32,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,50,"1 - Confined to object of origin","1 -  Fire alarm system present","23 - Distribution Equipment (includes panel boards, fuses, circuit br","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",5.8
"994",2018-09-25 17:33:21,2018-09-25 17:38:11,"53 - Chimney/Flue Pipe",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.83333333333333
"995",2018-09-25 23:15:48,2018-09-25 23:21:02,"25 - Washroom or Bathroom (toilet,restroom/locker room)",1,2500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","28 - Cord, Cable for Appliance, Electrical Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.23333333333333
"996",2018-09-26 08:41:45,2018-09-26 08:44:36,"24 - Cooking Area or Kitchen",1,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.85
"997",2018-10-17 21:34:38,2018-10-17 21:37:41,"13 - Stairway, Escalator",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.05
"998",2018-10-18 05:56:08,2018-10-18 06:01:18,"19 - Other Means of Egress",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","30 - Other Electrical Distribution Item","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",5.16666666666667
"999",2018-08-31 13:59:17,2018-08-31 14:04:01,"62 - Roof",0,50000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.73333333333333
"1000",2018-08-26 12:55:43,2018-08-26 12:59:48,"55 - Mechanical/Electrical Services Room",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","84 - Other Mechanical","3 - Floor/suite of fire origin: Smoke alarm present did not operate","1 - Sprinkler system activated",4.08333333333333
"1001",2018-08-26 16:37:01,2018-08-26 16:41:13,"24 - Cooking Area or Kitchen",0,10,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.2
"1002",2018-09-02 02:28:43,2018-09-02 02:31:51,"23 - Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,500,"1 - Confined to object of origin","2 - No Fire alarm system","83 - Other Electrical","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",3.13333333333333
"1003",2018-09-02 11:39:08,2018-09-02 11:44:29,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,55000,"1 - Confined to object of origin","1 -  Fire alarm system present","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.35
"1004",2018-09-30 06:37:46,2018-09-30 06:44:02,"24 - Cooking Area or Kitchen",0,4,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","15 - Range Hood","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",6.26666666666667
"1005",2018-09-30 09:56:22,2018-09-30 10:02:34,"24 - Cooking Area or Kitchen",0,2e+05,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.2
"1006",2018-08-04 09:36:25,2018-08-04 09:41:39,"27 - Laundry Area",0,2000,"1 - Confined to object of origin","1 -  Fire alarm system present","96 - Chemical Reaction (eg. spontaneous combustion, etc.)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",5.23333333333333
"1007",2018-08-04 21:25:26,2018-08-04 21:29:41,"64 - Porch or Balcony",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.25
"1008",2018-09-05 14:55:57,2018-09-05 14:58:47,"64 - Porch or Balcony",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",2.83333333333333
"1009",2018-09-05 18:43:50,2018-09-05 18:48:36,"24 - Cooking Area or Kitchen",1,1000,"1 - Confined to object of origin","2 - No Fire alarm system","12 - Oven","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.76666666666667
"1010",2018-09-06 00:38:42,2018-09-06 00:43:49,"24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.11666666666667
"1011",2018-09-06 09:33:48,2018-09-06 09:37:27,"24 - Cooking Area or Kitchen",0,50,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.65
"1012",2018-07-21 20:16:28,2018-07-21 20:21:18,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,15000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.83333333333333
"1013",2018-07-22 11:07:40,2018-07-22 11:11:25,"24 - Cooking Area or Kitchen",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.75
"1014",2018-07-23 14:48:14,2018-07-23 14:53:18,"61 - Exterior Wall",0,1,"1 - Confined to object of origin","1 -  Fire alarm system present","59 - Other Lighting Equipment","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",5.06666666666667
"1015",2018-07-27 20:16:41,2018-07-27 20:23:58,"24 - Cooking Area or Kitchen",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",7.28333333333333
"1016",2018-07-28 13:04:14,2018-07-28 13:08:21,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","34 - Space Heater - Portable","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",4.11666666666667
"1017",2018-08-02 16:22:35,2018-08-02 16:25:54,"61 - Exterior Wall",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",3.31666666666667
"1018",2018-09-30 07:44:02,2018-09-30 07:46:48,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire",2.76666666666667
"1019",2018-09-30 09:40:41,2018-09-30 09:45:20,"24 - Cooking Area or Kitchen",0,1e+05,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",4.65
"1020",2018-09-30 18:53:38,2018-09-30 18:58:13,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,1e+05,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",4.58333333333333
"1021",2018-09-30 22:20:54,2018-09-30 22:24:11,"21 - Living Area (e.g. living, TV, recreation, etc)",1,2000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.28333333333333
"1022",2018-07-16 15:15:24,2018-07-16 15:19:23,"62 - Roof",0,12000,"9 - Confined to roof/exterior structure","2 - No Fire alarm system","95 - Lightning","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",3.98333333333333
"1023",2018-09-09 07:58:06,2018-09-09 08:04:45,"73 - Parking Area, Parking Lot",0,30000,"1 - Confined to object of origin","2 - No Fire alarm system","82 - Vehicle - Mechanical","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",6.65
"1024",2018-09-09 23:01:38,2018-09-09 23:06:54,"41 - Closet (eg. clothes, broom, linen closet, etc.)",1,75000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","47 - Refrigerator, Freezer (includes vending machine)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.26666666666667
"1025",2018-07-29 12:53:42,2018-07-29 12:57:12,"24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","5 - Did not activate: reason unknown",3.5
"1026",2018-07-29 16:23:54,2018-07-29 16:27:41,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",3.78333333333333
"1027",2018-08-06 02:07:30,2018-08-06 02:12:11,"21 - Living Area (e.g. living, TV, recreation, etc)",1,500,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.68333333333333
"1028",2018-08-06 08:12:25,2018-08-06 08:16:45,"83 - Electrical Systems",0,2000,"1 - Confined to object of origin","2 - No Fire alarm system","81 - Vehicle - Electrical","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.33333333333333
"1029",2018-07-01 02:41:05,2018-07-01 02:46:43,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.63333333333333
"1030",2018-06-28 20:23:22,2018-06-28 20:28:30,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,5000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","56 - Halogen Lamp or light","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.13333333333333
"1031",2018-06-29 10:00:56,2018-06-29 10:04:06,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,25,"1 - Confined to object of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.16666666666667
"1032",2018-07-30 06:56:07,2018-07-30 07:00:19,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.2
"1033",2018-07-31 14:29:12,2018-07-31 14:33:36,"42 - Garage",1,30000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","30 - Other Electrical Distribution Item","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.4
"1034",2018-08-06 23:35:25,2018-08-06 23:42:53,"64 - Porch or Balcony",1,50000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",7.46666666666667
"1035",2018-08-07 18:52:14,2018-08-07 18:54:41,"24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",2.45
"1036",2018-07-06 21:32:07,2018-07-06 21:36:03,"64 - Porch or Balcony",0,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",3.93333333333333
"1037",2018-07-06 21:36:30,2018-07-06 21:42:13,"24 - Cooking Area or Kitchen",1,12000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.71666666666667
